No. Anggota,Daerah pemilihan,Nama,Jenis Kelamin,Komisi,Fraksi,Jabatan,Provinsi,Koalisi
441,Riau I,H. Hendry Munief M.B.A.,Laki-Laki,Komisi VII,PKS,-,Riau,Oposisi
541,Riau I,Dr. H. Achmad M.Si.,Laki-Laki,Komisi VIII,Demokrat,-,Riau,Koalisi Pemerintah
7,Riau II,H. Mafirion,Laki-Laki,Komisi XIII,PKB,-,Riau,Oposisi
77,Riau II,Muhammad Rohid,Laki-Laki,Komisi XII,Gerindra,-,Riau,Koalisi Pemerintah
164,Riau II,Hj. Siti Aisyah,Perempuan,Komisi XIII,PDI-P,-,Riau,Oposisi
279,Riau II,"Yulisman S.Si., M.M.",Laki-Laki,Komisi III,Golkar,-,Riau,Koalisi Pemerintah
442,Riau II,"Dr. Syahrul Aidi Maazat Lc., M.A.",Laki-Laki,Komisi V,PKS,-,Riau,Oposisi
493,Riau II,Ir. H. Sahidin,Laki-Laki,Komisi II,PAN,-,Riau,Koalisi Pemerintah
8,Jambi,Elpisina,Laki-Laki,Komisi XIII,PKB,-,Jambi,Oposisi
78,Jambi,Rocky Candra,Laki-Laki,Komisi XII,Gerindra,-,Jambi,Koalisi Pemerintah
165,Jambi,Edi Purwanto M.Si.,Laki-Laki,Komisi V,PDI-P,-,Jambi,Oposisi
280,Jambi,Drs. H. Cek Endra,Laki-Laki,Komisi XII,Golkar,-,Jambi,Koalisi Pemerintah
281,Jambi,H. Hasan Basri Agus,Laki-Laki,Komisi VIII,Golkar,-,Jambi,Koalisi Pemerintah
374,Jambi,"Dr. H. Syarif Fasha S.E., M.E.",Laki-Laki,Komisi XII,NasDem,-,Jambi,Oposisi
494,Jambi,H. A. Bakri H. M. S.E.,Laki-Laki,Komisi V,PAN,-,Jambi,Koalisi Pemerintah
542,Jambi,H. Zulfikar Achmad,Laki-Laki,Komisi IX,Demokrat,-,Jambi,Koalisi Pemerintah
9,Sumatera Selatan I,H. S. N. Prana Putra Sohe,Laki-Laki,Komisi XIII,PKB,-,Sumatera Selatan,Oposisi
79,Sumatera Selatan I,"Hj. Kartika Sandra Desi S.H., M.M.",Perempuan,Komisi IV,Gerindra,-,Sumatera Selatan,Koalisi Pemerintah
166,Sumatera Selatan I,"Yulian Gunhar S.H., M.H.",Laki-Laki,Komisi XII,PDI-P,-,Sumatera Selatan,Oposisi
282,Sumatera Selatan I,Drs. H. Kahar Muzakir,Laki-Laki,Komisi XI,Golkar,Wakil Ketua MPR RI,Sumatera Selatan,Koalisi Pemerintah
283,Sumatera Selatan I,Yudha Novanza Utama,Laki-Laki,Komisi I,Golkar,-,Sumatera Selatan,Koalisi Pemerintah
375,Sumatera Selatan I,Fauzi H. Amro,Laki-Laki,Komisi XI,NasDem,Wakil Ketua Komisi XI DPR RI,Sumatera Selatan,Oposisi
443,Sumatera Selatan I,Drs. H. Mohd. Iqbal Romzi,Laki-Laki,Komisi X,PKS,-,Sumatera Selatan,Oposisi
543,Sumatera Selatan I,Ir. H. Ishak Mekki M.M.,Laki-Laki,Komisi V,Demokrat,-,Sumatera Selatan,Koalisi Pemerintah
10,Sumatera Selatan II,Bertu Merlas S.T.,Laki-Laki,Komisi XI,PKB,-,Sumatera Selatan,Oposisi
80,Sumatera Selatan II,"Ahmad Wazir Noviadi S.Psi., M.Si.",Laki-Laki,Komisi II,Gerindra,-,Sumatera Selatan,Koalisi Pemerintah
81,Sumatera Selatan II,Ir. Hj. Sri Meliyana,Perempuan,Komisi IX,Gerindra,-,Sumatera Selatan,Koalisi Pemerintah
167,Sumatera Selatan II,"H. M. Giri Ramanda N. Kiemas S.E., M.M.",Laki-Laki,Komisi II,PDI-P,-,Sumatera Selatan,Oposisi
284,Sumatera Selatan II,"Dewi Yustisiana S.H., M.Kn.",Perempuan,Komisi XII,Golkar,-,Sumatera Selatan,Koalisi Pemerintah
376,Sumatera Selatan II,"Irma Suryani S.E., M.M.",Perempuan,Komisi IX,NasDem,-,Sumatera Selatan,Oposisi
444,Sumatera Selatan II,H. Askweni S.Pd.,Laki-Laki,Komisi VIII,PKS,-,Sumatera Selatan,Oposisi
495,Sumatera Selatan II,H. Iskandar S.E.,Laki-Laki,Komisi VI,PAN,-,Sumatera Selatan,Koalisi Pemerintah
544,Sumatera Selatan II,"Wahyu Sanjaya S.E., M.M.",Laki-Laki,Komisi XI,Demokrat,-,Sumatera Selatan,Koalisi Pemerintah
168,Bengkulu,Eko Kurnia Ningsih,Perempuan,Komisi IX,PDI-P,-,Bengkulu,Oposisi
285,Bengkulu,Hj. Derta Rohidin,Perempuan,Komisi VIII,Golkar,-,Bengkulu,Koalisi Pemerintah
377,Bengkulu,Erna Sari Dewi S.E.,Perempuan,Komisi VII,NasDem,-,Bengkulu,Oposisi
496,Bengkulu,Hj. Dewi Coryati M.Si.,Perempuan,Komisi X,PAN,-,Bengkulu,Koalisi Pemerintah
11,Lampung I,"Dr. H. Muhammad Kadafi S.H., M.H.",Laki-Laki,Komisi X,PKB,-,Lampung,Oposisi
82,Lampung I,H. Ahmad Muzani,Laki-Laki,Komisi I,Gerindra,Ketua MPR RI,Lampung,Koalisi Pemerintah
83,Lampung I,"Ruby Chairani Syiffadia B.A. (Hons), M.Sc.",Perempuan,Komisi X,Gerindra,-,Lampung,Koalisi Pemerintah
169,Lampung I,Drs. Mukhlis Basri,Laki-Laki,Komisi V,PDI-P,-,Lampung,Oposisi
170,Lampung I,Sudin S.E.,Laki-Laki,Komisi III,PDI-P,-,Lampung,Oposisi
286,Lampung I,Rycko Menoza M.B.A.,Laki-Laki,Komisi VII,Golkar,-,Lampung,Koalisi Pemerintah
378,Lampung I,"Rahmawati Herdian S.H., M.Kn.",Perempuan,Komisi IX,NasDem,-,Lampung,Oposisi
445,Lampung I,Dr. Al Muzzammil Yusuf M.Si.,Laki-Laki,Komisi XIII,PKS,-,Lampung,Oposisi
497,Lampung I,Putri Zulkifli Hasan,Perempuan,Komisi XII,PAN,Wakil Ketua Komisi XII DPR RI,Lampung,Koalisi Pemerintah
545,Lampung I,H. Zulkifli Anwar,Laki-Laki,Komisi II,Demokrat,-,Lampung,Koalisi Pemerintah
12,Lampung II,Hj. Chusnunia M.Si.,Perempuan,Komisi VII,PKB,Wakil Ketua Komisi VII DPR RI,Lampung,Oposisi
84,Lampung II,Ir. Dwita Ria Gunadi,Perempuan,Komisi IV,Gerindra,-,Lampung,Koalisi Pemerintah
85,Lampung II,"Dr. Bob Hasan S.H., M.H.",Laki-Laki,Komisi III,Gerindra,Ketua Badan Legislasi DPR RI,Lampung,Koalisi Pemerintah
171,Lampung II,drh. I Ketut Suwendra M.M.,Laki-Laki,Komisi IV,PDI-P,-,Lampung,Oposisi
287,Lampung II,Ir. Hanan A. Rozak M.S.,Laki-Laki,Komisi IV,Golkar,-,Lampung,Koalisi Pemerintah
288,Lampung II,H. Aprozi Alam S.E.,Laki-Laki,Komisi VIII,Golkar,-,Lampung,Koalisi Pemerintah
379,Lampung II,Tamanuri,Laki-Laki,Komisi V,NasDem,-,Lampung,Oposisi
446,Lampung II,Dr. Ir. H. A. Junaidi Auly M.M.,Laki-Laki,Komisi XI,PKS,-,Lampung,Oposisi
498,Lampung II,"Irham Jafar Lan Putra S.Hut., M.H.",Laki-Laki,Komisi IV,PAN,-,Lampung,Koalisi Pemerintah
