No. Anggota,Daerah pemilihan,Nama,Komisi,Fraksi,Jabatan,Provinsi,Koalisi
387,Jawa Barat IX,"Ujang Bey S.I.P., M.I.P.",Komisi II,NasDem,-,Jawa Barat,Oposisi
461,Jawa Barat IX,Ir. H. Ateng Sutisna,Komisi II,PKS,-,Jawa Barat,Oposisi
507,Jawa Barat IX,"Farah Puteri Nahlia B.A., M.Sc.",Komisi I,PAN,-,Jawa Barat,Koalisi Pemerintah
25,Jawa Barat X,"Rina Sa'adah Lc., M.Si.",Komisi IV,PKB,-,Jawa Barat,Oposisi
104,Jawa Barat X,H. Rokhmat Ardiyan M.M.,Komisi XII,Gerindra,-,Jawa Barat,Koalisi Pemerintah
187,Jawa Barat X,Hj. Ida Nurlaela Wiradinata,Komisi VI,PDI-P,-,Jawa Barat,Oposisi
307,Jawa Barat X,"Dr. Tr. Agun Gunandjar S. Bc.I.P., M.Si.",Komisi XIII,Golkar,Wakil Ketua Badan Aspirasi Masyarakat DPR RI,Jawa Barat,Koalisi Pemerintah
388,Jawa Barat X,"Dr. Shohibul Imam CA., CPA.",Komisi XI,NasDem,-,Jawa Barat,Oposisi
462,Jawa Barat X,"Dr. K. H. Surahman Hidayat Lc., M.A.",Komisi III,PKS,-,Jawa Barat,Oposisi
508,Jawa Barat X,Ir. H. Herry Dermawan,Komisi IV,PAN,-,Jawa Barat,Koalisi Pemerintah
26,Jawa Barat XI,Hj. Imas Aan Ubudiah S.Pd.I.,Komisi VI,PKB,-,Jawa Barat,Oposisi
27,Jawa Barat XI,H. Oleh Soleh S.H.,Komisi I,PKB,-,Jawa Barat,Oposisi
105,Jawa Barat XI,"Muhammad Husein Fadlulloh B.Bus., M.M., M.B.A.",Komisi VI,Gerindra,Wakil Ketua Badan Kerjasama Antar Parlemen DPR RI,Jawa Barat,Koalisi Pemerintah
106,Jawa Barat XI,Mulan Jameela S.S.,Komisi VI,Gerindra,-,Jawa Barat,Koalisi Pemerintah
188,Jawa Barat XI,Dony Maryadi Oekon S.T.,Komisi XII,PDI-P,Wakil Ketua Komisi XII DPR RI,Jawa Barat,Oposisi
308,Jawa Barat XI,Ade Ginanjar S.Sos.,Komisi II,Golkar,-,Jawa Barat,Koalisi Pemerintah
309,Jawa Barat XI,"Ferdiansyah S.E., M.M.",Komisi X,Golkar,-,Jawa Barat,Koalisi Pemerintah
389,Jawa Barat XI,Lola Nelria Oktavia,Komisi III,NasDem,-,Jawa Barat,Oposisi
463,Jawa Barat XI,"H. Mohamad Sohibul Iman M.Sc., Ph.D.",Komisi XIII,PKS,-,Jawa Barat,Oposisi
509,Jawa Barat XI,"Muhammad Hoerudin Amin S.Ag., M.H.",Komisi X,PAN,-,Jawa Barat,Koalisi Pemerintah
28,Jawa Tengah I,H. Alamuddin Dimyati Rois S.Sos.,Komisi IX,PKB,-,Jawa Tengah,Oposisi
107,Jawa Tengah I,Jamal Mirdad,Komisi I,Gerindra,[Ket. 23][2],Jawa Tengah,Koalisi Pemerintah
189,Jawa Tengah I,"Mochamad Herviano Widyatama S.Sos., M.M.",Komisi V,PDI-P,-,Jawa Tengah,Oposisi
190,Jawa Tengah I,Samuel J. D. Wattimena,Komisi VII,PDI-P,-,Jawa Tengah,Oposisi
310,Jawa Tengah I,Firnando Hadityo Ganinduto B.A.,Komisi VI,Golkar,-,Jawa Tengah,Koalisi Pemerintah
390,Jawa Tengah I,Drs. Fadholi,Komisi V,NasDem,-,Jawa Tengah,Oposisi
464,Jawa Tengah I,"Dr. H. Muhammad Haris S.S., M.Si.",Komisi XII,PKS,-,Jawa Tengah,Oposisi
554,Jawa Tengah I,dr. Raja Faisal Manganju Sitorus,Komisi XIII,Demokrat,-,Jawa Tengah,Koalisi Pemerintah
29,Jawa Tengah II,Hj. Hindun Anisah M.A.,Komisi IV,PKB,-,Jawa Tengah,Oposisi
108,Jawa Tengah II,Abdul Wachid,Komisi VIII,Gerindra,Wakil Ketua Komisi VIII DPR RI,Jawa Tengah,Koalisi Pemerintah
191,Jawa Tengah II,"Dr. H. Musthofa S.E., M.M.",Komisi XI,PDI-P,-,Jawa Tengah,Oposisi
192,Jawa Tengah II,"Gilang Dhielafararez S.H., LL.M.",Komisi III,PDI-P,-,Jawa Tengah,Oposisi
311,Jawa Tengah II,Andhika Satya Wasistho,Komisi VII,Golkar,[Ket. 29][3],Jawa Tengah,Koalisi Pemerintah
312,Jawa Tengah II,Jamaludin Malik,Komisi XIII,Golkar,-,Jawa Tengah,Koalisi Pemerintah
391,Jawa Tengah II,Lestari Moerdijat,Komisi X,NasDem,Wakil Ketua MPR RI,Jawa Tengah,Oposisi
30,Jawa Tengah III,Marwan Jafar,Komisi I,PKB,-,Jawa Tengah,Oposisi
31,Jawa Tengah III,Eva Monalisa,Komisi VII,PKB,-,Jawa Tengah,Oposisi
109,Jawa Tengah III,Danang Wicaksana Sulistya,Komisi V,Gerindra,-,Jawa Tengah,Koalisi Pemerintah
193,Jawa Tengah III,"Haryanto S.H., M.M., M.Si.",Komisi V,PDI-P,-,Jawa Tengah,Oposisi
194,Jawa Tengah III,"Dr. Evita Nursanty S.H., M.Sc.",Komisi VII,PDI-P,Wakil Ketua Komisi VII DPR RI,Jawa Tengah,Oposisi
195,Jawa Tengah III,"Dr. H. Edy Wuryanto S.Kp., M.Kep.",Komisi IX,PDI-P,-,Jawa Tengah,Oposisi
313,Jawa Tengah III,Firman Soebagyo,Komisi IV,Golkar,-,Jawa Tengah,Koalisi Pemerintah
392,Jawa Tengah III,"Hj. Sri Wulan S.E., M.M.",Komisi VIII,NasDem,-,Jawa Tengah,Oposisi
555,Jawa Tengah III,"Harmusa Oktaviani S.E., M.H.",Komisi V,Demokrat,-,Jawa Tengah,Koalisi Pemerintah
110,Jawa Tengah IV,Ir. Sriyanto Saputro M.M.,Komisi V,Gerindra,-,Jawa Tengah,Koalisi Pemerintah
196,Jawa Tengah IV,Ir. Bambang Wuryanto M.B.A.,Komisi XII,PDI-P,Wakil Ketua MPR RI,Jawa Tengah,Oposisi
197,Jawa Tengah IV,Dolfie O. F. P. S.T.,Komisi XI,PDI-P,Wakil Ketua Komisi XI DPR RI,Jawa Tengah,Oposisi
198,Jawa Tengah IV,Diah Pikatan O. Putri Haprani,Komisi XI,PDI-P,-,Jawa Tengah,Oposisi
314,Jawa Tengah IV,"Drs. Juliyatmono M.M., M.H.",Komisi X,Golkar,-,Jawa Tengah,Koalisi Pemerintah
465,Jawa Tengah IV,Drs. Hamid Noor Yasin M.M.,Komisi XIII,PKS,-,Jawa Tengah,Oposisi
556,Jawa Tengah IV,"Rinto Subekti S.E., M.M.",Komisi XIII,Demokrat,Wakil Ketua Komisi XIII DPR RI,Jawa Tengah,Koalisi Pemerintah
32,Jawa Tengah V,H. Mohamad Toha M.Si.,Komisi II,PKB,-,Jawa Tengah,Oposisi
111,Jawa Tengah V,Adik Sasongko,Komisi XIII,Gerindra,-,Jawa Tengah,Koalisi Pemerintah
199,Jawa Tengah V,Puan Maharani,Komisi I,PDI-P,Ketua DPR-RI,Jawa Tengah,Oposisi
200,Jawa Tengah V,Aria Bima,Komisi II,PDI-P,Wakil Ketua Komisi II DPR RI,Jawa Tengah,Oposisi
201,Jawa Tengah V,"H. Didik Haryadi S.T., S.H.",Komisi XI,PDI-P,-,Jawa Tengah,Oposisi
315,Jawa Tengah V,"H. Singgih Januratmoko S.K.H., M.M.",Komisi VIII,Golkar,Wakil Ketua Komisi VIII DPR RI,Jawa Tengah,Koalisi Pemerintah
466,Jawa Tengah V,"Dr. H. Abdul Kharis Almasyhari S.E., M.Si.",Komisi IV,PKS,Wakil Ketua Komisi IV DPR RI,Jawa Tengah,Oposisi
510,Jawa Tengah V,Muhammad Hatta,Komisi VII,PAN,-,Jawa Tengah,Koalisi Pemerintah
33,Jawa Tengah VI,Abdullah,Komisi III,PKB,-,Jawa Tengah,Oposisi
112,Jawa Tengah VI,Azis Subekti M.T.,Komisi II,Gerindra,[Ket. 35][2],Jawa Tengah,Koalisi Pemerintah
202,Jawa Tengah VI,"Vita Ervina S.E., M.B.A.",Komisi XIII,PDI-P,-,Jawa Tengah,Oposisi
203,Jawa Tengah VI,Sofwan Dedy Ardyanto,Komisi V,PDI-P,-,Jawa Tengah,Oposisi
316,Jawa Tengah VI,Ir. Panggah Susanto M.M.,Komisi IV,Golkar,Wakil Ketua Komisi IV DPR RI,Jawa Tengah,Koalisi Pemerintah
393,Jawa Tengah VI,Nafa Urbach,Komisi IX,NasDem,-,Jawa Tengah,Oposisi
557,Jawa Tengah VI,Bramantyo Suwondo M.,Komisi X,Demokrat,Wakil Ketua Badan Kerjasama Antar Parlemen DPR RI,Jawa Tengah,Koalisi Pemerintah
34,Jawa Tengah VII,Drs. H. Taufiq R. Abdullah,Komisi I,PKB,Wakil Ketua Badan Aspirasi Masyarakat DPR RI,Jawa Tengah,Oposisi
113,Jawa Tengah VII,"Ir. KRT. H. Darori Wonodipuro M.M., IPU.",Komisi IV,Gerindra,-,Jawa Tengah,Koalisi Pemerintah
204,Jawa Tengah VII,Drs. Utut Adianto,Komisi I,PDI-P,Ketua Komisi I DPR RI,Jawa Tengah,Oposisi
317,Jawa Tengah VII,Dr. Bambang Soesatyo S.E.,Komisi III,Golkar,-,Jawa Tengah,Koalisi Pemerintah
394,Jawa Tengah VII,Amelia Anggraini,Komisi I,NasDem,-,Jawa Tengah,Oposisi
467,Jawa Tengah VII,Rofik Hananto S.E.,Komisi VII,PKS,-,Jawa Tengah,Oposisi
511,Jawa Tengah VII,Aqib Ardiansyah M.Si.,Komisi XII,PAN,-,Jawa Tengah,Koalisi Pemerintah
35,Jawa Tengah VIII,"Siti Mukaromah S.Ag., M.A.P.",Komisi VII,PKB,-,Jawa Tengah,Oposisi
114,Jawa Tengah VIII,"Hj. Novita Wijayanti S.M., M.M.",Komisi V,Gerindra,Wakil Ketua Badan Urusan Rumah Tangga DPR RI,Jawa Tengah,Koalisi Pemerintah
205,Jawa Tengah VIII,Kaisar Kiasa Kasih Said Putra,Komisi XI,PDI-P,-,Jawa Tengah,Oposisi
206,Jawa Tengah VIII,Adisatrya Suryo Sulisto,Komisi VI,PDI-P,Wakil Ketua Komisi VI DPR RI,Jawa Tengah,Oposisi
318,Jawa Tengah VIII,Teti Rohatiningsih S.Sos.,Komisi IX,Golkar,-,Jawa Tengah,Koalisi Pemerintah
395,Jawa Tengah VIII,Sugeng Suparwoto,Komisi XII,NasDem,Wakil Ketua Komisi XII DPR RI,Jawa Tengah,Oposisi
468,Jawa Tengah VIII,H. Yanuar Arif Wibowo S.H.,Komisi V,PKS,-,Jawa Tengah,Oposisi
558,Jawa Tengah VIII,H. Wastam S.E.,Komisi V,Demokrat,-,Jawa Tengah,Koalisi Pemerintah
36,Jawa Tengah IX,Eka Widodo,Komisi II,PKB,-,Jawa Tengah,Oposisi
115,Jawa Tengah IX,"Mohamad Hekal B.Sc., M.B.A.",Komisi XI,Gerindra,Wakil Ketua Komisi XI DPR RI,Jawa Tengah,Koalisi Pemerintah
207,Jawa Tengah IX,Shanty Alda Nathalia S.H.,Komisi XII,PDI-P,-,Jawa Tengah,Oposisi
208,Jawa Tengah IX,"Dr. Harris Turino S.T., S.H., M.Si., M.M.",Komisi XI,PDI-P,-,Jawa Tengah,Oposisi
209,Jawa Tengah IX,"Hj. Shintya Sandra Kusuma S.Hub.Int., M.A.B.",Komisi II,PDI-P,-,Jawa Tengah,Oposisi
319,Jawa Tengah IX,"Agung Widyantoro S.H., M.Si.",Komisi X,Golkar,Wakil Ketua Mahkamah Kehormatan Dewan DPR RI,Jawa Tengah,Koalisi Pemerintah
469,Jawa Tengah IX,Dr. H. Abdul Fikri Faqih M.M.,Komisi VIII,PKS,-,Jawa Tengah,Oposisi
512,Jawa Tengah IX,Wahyudin Noor Aly alias Goyud,Komisi II,PAN,-,Jawa Tengah,Koalisi Pemerintah
37,Jawa Tengah X,M. Hanif Dhakiri,Komisi XI,PKB,Wakil Ketua Komisi XI DPR RI,Jawa Tengah,Oposisi
116,Jawa Tengah X,Dr. Ramson Siagian,Komisi XII,Gerindra,-,Jawa Tengah,Koalisi Pemerintah
210,Jawa Tengah X,Dede Indra Permana Soediro S.H.,Komisi III,PDI-P,Wakil Ketua Komisi III DPR RI,Jawa Tengah,Oposisi
320,Jawa Tengah X,Ashraff Abu,Komisi IX,Golkar,-,Jawa Tengah,Koalisi Pemerintah
321,Jawa Tengah X,"Doni Akbar S.E., M.M.",Komisi VI,Golkar,-,Jawa Tengah,Koalisi Pemerintah
396,Jawa Tengah X,Yoyok Riyo Sudibyo,Komisi I,NasDem,-,Jawa Tengah,Oposisi
470,Jawa Tengah X,Rizal Bawazier,Komisi VI,PKS,-,Jawa Tengah,Oposisi
38,Daerah Istimewa Yogyakarta,Kaisar Abu Hanifah,Komisi VII,PKB,-,Daerah Istimewa Yogyakarta,Oposisi
117,Daerah Istimewa Yogyakarta,Siti Hediati Soeharto S.E.,Komisi IV,Gerindra,Ketua Komisi IV DPR RI,Daerah Istimewa Yogyakarta,Koalisi Pemerintah
211,Daerah Istimewa Yogyakarta,M. Y. Esti Wijayati,Komisi X,PDI-P,Wakil Ketua Komisi X DPR RI,Daerah Istimewa Yogyakarta,Oposisi
212,Daerah Istimewa Yogyakarta,G. M. Totok Hedi Santosa,Komisi VI,PDI-P,-,Daerah Istimewa Yogyakarta,Oposisi
322,Daerah Istimewa Yogyakarta,Drs. Gandung Pardiman M.M.,Komisi XII,Golkar,-,Daerah Istimewa Yogyakarta,Koalisi Pemerintah
397,Daerah Istimewa Yogyakarta,"H. Subardi S.H., M.H.",Komisi VI,NasDem,-,Daerah Istimewa Yogyakarta,Oposisi
471,Daerah Istimewa Yogyakarta,Dr. H. Sukamta,Komisi I,PKS,-,Daerah Istimewa Yogyakarta,Oposisi
513,Daerah Istimewa Yogyakarta,H. Totok Daryanto S.E.,Komisi XII,PAN,-,Daerah Istimewa Yogyakarta,Koalisi Pemerintah
39,Jawa Timur I,"Dr. Hj. Arzeti Bilbina Setyawan S.E., M.AP.",Komisi IX,PKB,-,Jawa Timur,Oposisi
118,Jawa Timur I,Ir. H. Bambang Haryo Soekartono,Komisi VII,Gerindra,-,Jawa Timur,Koalisi Pemerintah
119,Jawa Timur I,Dhani Ahmad Prasetyo S.H.,Komisi X,Gerindra,-,Jawa Timur,Koalisi Pemerintah
213,Jawa Timur I,Puti Guntur Soekarno S.I.P.,Komisi X,PDI-P,-,Jawa Timur,Oposisi
214,Jawa Timur I,"Indah Kurnia S.E., M.M.",Komisi IX,PDI-P,Wakil Ketua Badan Urusan Rumah Tangga DPR RI,Jawa Timur,Oposisi
323,Jawa Timur I,"Dr. Ir. H. Adies Kadir S.H., M.Hum.",Komisi III,Golkar,Wakil Ketua DPR-RI,Jawa Timur,Koalisi Pemerintah
398,Jawa Timur I,Lita Machfud Arifin,Komisi X,NasDem,-,Jawa Timur,Oposisi
472,Jawa Timur I,"Reni Astuti S.Si., M.PSDM.",Komisi V,PKS,-,Jawa Timur,Oposisi
514,Jawa Timur I,"Arizal Tom Liwafa S.T., M.M.",Komisi VII,PAN,-,Jawa Timur,Koalisi Pemerintah
559,Jawa Timur I,Dra. Lucy Kurniasari,Komisi IX,Demokrat,-,Jawa Timur,Koalisi Pemerintah
40,Jawa Timur II,Dra. Hj. Anisah Syakur M.Ag.,Komisi VI,PKB,[Ket. 38][12],Jawa Timur,Oposisi
41,Jawa Timur II,"Muhammad Hilman Mufidi S.E., S.H.",Komisi X,PKB,[Ket. 40][12],Jawa Timur,Oposisi
120,Jawa Timur II,Dr. H. Anwar Sadad M.Ag.,Komisi XIII,Gerindra,-,Jawa Timur,Koalisi Pemerintah
215,Jawa Timur II,dr. H. Mufti A.N. Anam M.I.Kom.,Komisi VI,PDI-P,-,Jawa Timur,Oposisi
324,Jawa Timur II,"Dr. H. Mukhamad Misbakhun S.E., M.H.",Komisi XI,Golkar,Ketua Komisi XI DPR RI,Jawa Timur,Koalisi Pemerintah
399,Jawa Timur II,"Hj. Dini Rahmania S.A.P., M.M.",Komisi VIII,NasDem,-,Jawa Timur,Oposisi
515,Jawa Timur II,H. Syaiful Nuri,Komisi VIII,PAN,-,Jawa Timur,Koalisi Pemerintah
42,Jawa Timur III,"Dr. Hj. Nihayatul Wafiroh S.Ag., M.A.",Komisi IX,PKB,Wakil Ketua Komisi IX DPR RI,Jawa Timur,Oposisi
43,Jawa Timur III,Ir. H. M. Nasim Khan,Komisi VI,PKB,-,Jawa Timur,Oposisi
121,Jawa Timur III,Ir. H. Sumail Abdullah M.T.,Komisi I,Gerindra,-,Jawa Timur,Koalisi Pemerintah
216,Jawa Timur III,"Sonny Tri Danaparamita S.H., M.H.",Komisi IV,PDI-P,-,Jawa Timur,Oposisi
217,Jawa Timur III,Ina Ammania,Komisi VIII,PDI-P,-,Jawa Timur,Oposisi
325,Jawa Timur III,"Zulfikar Arse Sadikin S.I.P., M.Si.",Komisi II,Golkar,Wakil Ketua Komisi II DPR RI,Jawa Timur,Koalisi Pemerintah
560,Jawa Timur III,"Dina Lorenza Audria S.I.P., M.I.P.",Komisi VII,Demokrat,-,Jawa Timur,Koalisi Pemerintah
44,Jawa Timur IV,H. Rivqy Abdul Halim S.E.,Komisi VI,PKB,-,Jawa Timur,Oposisi
45,Jawa Timur IV,H. Muhammad Khozin M.A.P.,Komisi II,PKB,[Ket. 44][12],Jawa Timur,Oposisi
122,Jawa Timur IV,Bambang Haryadi S.E.,Komisi XII,Gerindra,Wakil Ketua Komisi XII DPR RI,Jawa Timur,Koalisi Pemerintah
123,Jawa Timur IV,"Kawendra Lukistian S.E., M.Sn.",Komisi VI,Gerindra,-,Jawa Timur,Koalisi Pemerintah
218,Jawa Timur IV,Arif Wibowo,Komisi II,PDI-P,-,Jawa Timur,Oposisi
326,Jawa Timur IV,H. Muhamad Nur Purnamasidi S.Sos.,Komisi X,Golkar,-,Jawa Timur,Koalisi Pemerintah
400,Jawa Timur IV,"H. Charles Meikyansah S.Sos., M.I.Kom.",Komisi XI,NasDem,-,Jawa Timur,Oposisi
473,Jawa Timur IV,"Amin Ak., M.M.",Komisi VI,PKS,-,Jawa Timur,Oposisi
46,Jawa Timur V,"Hassanudin Wahid S.Ag., M.Hum.",Komisi XI,PKB,-,Jawa Timur,Oposisi
47,Jawa Timur V,H. Ali Ahmad S.H.,Komisi II,PKB,-,Jawa Timur,Oposisi
124,Jawa Timur V,Moreno Soeprapto S.Sos.,Komisi XII,Gerindra,-,Jawa Timur,Koalisi Pemerintah
125,Jawa Timur V,H. Ma'ruf Mubarok S.H.,Komisi VII,Gerindra,-,Jawa Timur,Koalisi Pemerintah
219,Jawa Timur V,"Dr. Ahmad Basarah S.H., M.H.",Komisi XIII,PDI-P,-,Jawa Timur,Oposisi
220,Jawa Timur V,Ir. Andreas Eddy Susetyo M.M.,Komisi XI,PDI-P,Ketua Badan Akuntabilitas Keuangan Negara DPR RI,Jawa Timur,Oposisi
327,Jawa Timur V,Ahmad Irawan,Komisi II,Golkar,-,Jawa Timur,Koalisi Pemerintah
474,Jawa Timur V,dr. Gamal M.Biomed.,Komisi X,PKS,-,Jawa Timur,Oposisi
48,Jawa Timur VI,Dr. Hj. Anggia Erma Rini M.K.M.,Komisi VI,PKB,Ketua Komisi VI DPR RI,Jawa Timur,Oposisi
49,Jawa Timur VI,H. An'im Falachuddin,Komisi VIII,PKB,-,Jawa Timur,Oposisi
126,Jawa Timur VI,Ir. Endro Hermono M.B.A.,Komisi VIII,Gerindra,-,Jawa Timur,Koalisi Pemerintah
221,Jawa Timur VI,Pulung Agustanto,Komisi III,PDI-P,-,Jawa Timur,Oposisi
222,Jawa Timur VI,Romy Soekarno,Komisi II,PDI-P,-,Jawa Timur,Oposisi
328,Jawa Timur VI,"M. Sarmuji S.E., M.S.",Komisi VI,Golkar,-,Jawa Timur,Koalisi Pemerintah
329,Jawa Timur VI,Dr. Ir. Heru Tjahjono M.M.,Komisi IX,Golkar,-,Jawa Timur,Koalisi Pemerintah
401,Jawa Timur VI,Nurhadi,Komisi IX,NasDem,-,Jawa Timur,Oposisi
516,Jawa Timur VI,Ir. Ahmad Riski Sadig M.Si.,Komisi XI,PAN,-,Jawa Timur,Koalisi Pemerintah
50,Jawa Timur VII,"H. Ahmad Iman Sukri S.H., M.Hum.",Komisi XIII,PKB,Wakil Ketua Badan Legislasi DPR RI,Jawa Timur,Oposisi
127,Jawa Timur VII,Drs. Supriyanto,Komisi V,Gerindra,-,Jawa Timur,Koalisi Pemerintah
223,Jawa Timur VII,"Hj. Novita Hardini S.E., M.E.",Komisi VII,PDI-P,-,Jawa Timur,Oposisi
224,Jawa Timur VII,Ir. Budi Sulistyono alias Kanang,Komisi VI,PDI-P,-,Jawa Timur,Oposisi
330,Jawa Timur VII,"Dr. Ali Mufthi S.Ag., M.Si.",Komisi V,Golkar,-,Jawa Timur,Koalisi Pemerintah
475,Jawa Timur VII,"Riyono S.Kel., M.Si.",Komisi IV,PKS,-,Jawa Timur,Oposisi
561,Jawa Timur VII,"Dr. H. Edhie Baskoro Yudhoyono B.Com., M.Sc.",Komisi XII,Demokrat,Wakil Ketua MPR RI,Jawa Timur,Koalisi Pemerintah
562,Jawa Timur VII,"Sartono S.E., M.M.",Komisi VI,Demokrat,-,Jawa Timur,Koalisi Pemerintah
51,Jawa Timur VIII,Rusdi Kirana S.E.,Komisi III,PKB,Wakil Ketua MPR RI,Jawa Timur,Oposisi
52,Jawa Timur VIII,Dr. (H.C.) Drs. H. A. Halim Iskandar M.Pd.,Komisi I,PKB,-,Jawa Timur,Oposisi
128,Jawa Timur VIII,Bimantoro Wiyono S.H.,Komisi VIII,Gerindra,[Ket. 48][2],Jawa Timur,Koalisi Pemerintah
225,Jawa Timur VIII,"Hj. Sadarestuwati S.P., M.M.A.",Komisi VI,PDI-P,-,Jawa Timur,Oposisi
226,Jawa Timur VIII,Banyu Biru Djarot,Komisi VII,PDI-P,-,Jawa Timur,Oposisi
331,Jawa Timur VIII,M. Yahya Zaini S.H.,Komisi IX,Golkar,Wakil Ketua Komisi IX DPR RI,Jawa Timur,Koalisi Pemerintah
402,Jawa Timur VIII,Muhammad Habibur Rochman S.E.,Komisi II,NasDem,-,Jawa Timur,Oposisi
476,Jawa Timur VIII,Hj. Meitri Citra Wardani S.H.,Komisi XII,PKS,-,Jawa Timur,Oposisi
517,Jawa Timur VIII,Abdul Hakim Bafagih,Komisi VI,PAN,-,Jawa Timur,Koalisi Pemerintah
563,Jawa Timur VIII,Drs. H. Guntur Sasono M.Si.,Komisi IV,Demokrat,"Ketua DPR sementara pada sidang paripurna pertama, selaku anggota dewan tertua.[16]",Jawa Timur,Koalisi Pemerintah
53,Jawa Timur IX,"Dr. Hj. Anna Mu'awanah S.E., M.H.",Komisi XI,PKB,-,Jawa Timur,Oposisi
54,Jawa Timur IX,"Hj. Ratna Juwita Sari S.E., M.M.",Komisi XII,PKB,-,Jawa Timur,Oposisi
129,Jawa Timur IX,"Wihadi Wijanto S.H., M.H.",Komisi XI,Gerindra,Wakil Ketua Badan Anggaran DPR RI,Jawa Timur,Koalisi Pemerintah
227,Jawa Timur IX,"H. Abidin Fikri S.H., M.H.",Komisi VIII,PDI-P,Wakil Ketua Komisi VIII DPR RI,Jawa Timur,Oposisi
332,Jawa Timur IX,Dra. Hj. Haeny Relawati Rini Widyastuti M.Si.,Komisi VIII,Golkar,-,Jawa Timur,Koalisi Pemerintah
333,Jawa Timur IX,Eko Wahyudi,Komisi IV,Golkar,-,Jawa Timur,Koalisi Pemerintah
55,Jawa Timur X,"Dr. H. Jazilul Fawaid S.Q., M.A.",Komisi III,PKB,Wakil Ketua Badan Anggaran DPR RI,Jawa Timur,Oposisi
130,Jawa Timur X,H. Khilmi,Komisi VI,Gerindra,-,Jawa Timur,Koalisi Pemerintah
228,Jawa Timur X,H. Nasyirul Falah Amru S.E.,Komisi III,PDI-P,-,Jawa Timur,Oposisi
229,Jawa Timur X,Nila Yani Hardiyanti S.I.Kom.,Komisi VII,PDI-P,-,Jawa Timur,Oposisi
334,Jawa Timur X,Ahmad Labib,Komisi VI,Golkar,-,Jawa Timur,Koalisi Pemerintah
403,Jawa Timur X,"Jiddan S.E., S.H.",Komisi XI,NasDem,-,Jawa Timur,Oposisi
56,Jawa Timur XI,"H. Syafiuddin S.Sos., M.H.",Komisi V,PKB,-,Jawa Timur,Oposisi
131,Jawa Timur XI,"R. H. Imron Amin S.H., M.H.",Komisi XI,Gerindra,Wakil Ketua Mahkamah Kehormatan Dewan DPR RI,Jawa Timur,Koalisi Pemerintah
230,Jawa Timur XI,M. H. Said Abdullah,Komisi XI,PDI-P,Ketua Badan Anggaran DPR RI,Jawa Timur,Oposisi
231,Jawa Timur XI,Ansari S.Pd.I.,Komisi VIII,PDI-P,-,Jawa Timur,Oposisi
335,Jawa Timur XI,"Dr. Eric Hermawan M.T., M.M.",Komisi VII,Golkar,-,Jawa Timur,Koalisi Pemerintah
404,Jawa Timur XI,"Willy Aditya S.Fil., M.Ds., M.Sc.",Komisi XIII,NasDem,Ketua Komisi XIII DPR RI,Jawa Timur,Oposisi
518,Jawa Timur XI,"H. Slamet Ariyadi S.Psi., M.Sos.",Komisi I,PAN,-,Jawa Timur,Koalisi Pemerintah
564,Jawa Timur XI,"H. Hasani Bin Zuber S.IP., M.KP.",Komisi VIII,Demokrat,-,Jawa Timur,Koalisi Pemerintah
57,Banten I,Ahmad Fauzi,Komisi V,PKB,-,Banten,Oposisi
132,Banten I,"Ali Zamroni S.Sos., M.A.P.",Komisi X,Gerindra,-,Banten,Koalisi Pemerintah
232,Banten I,Bonnie Triyana S.S.,Komisi X,PDI-P,-,Banten,Oposisi
336,Banten I,"Dr. Hj. Adde Rosi Khoerunnisa S.Sos., M.Si.",Komisi X,Golkar,-,Banten,Koalisi Pemerintah
405,Banten I,Arif Rahman,Komisi IV,NasDem,-,Banten,Oposisi
565,Banten I,Rizki Aulia Rahman Natakusumah,Komisi I,Demokrat,Ketua Badan Urusan Rumah Tangga DPR RI,Banten,Koalisi Pemerintah
133,Banten II,Annisa M. A. Mahesa,Komisi XI,Gerindra,"Wakil Ketua DPR sementara pada sidang paripurna pertama, selaku anggota dewan termuda.",Banten,Koalisi Pemerintah
233,Banten II,Sarifah Ainun Jariyah S.I.P.,Komisi I,PDI-P,-,Banten,Oposisi
337,Banten II,Tubagus Haerul Jaman S.E.,Komisi V,Golkar,-,Banten,Koalisi Pemerintah
406,Banten II,"Prof. Dr. H. Furtasan Ali Yusuf S.E., S.Kom., M.M.",Komisi X,NasDem,-,Banten,Oposisi
477,Banten II,Dr. H. Jazuli Juwaini M.A.,Komisi I,PKS,-,Banten,Oposisi
519,Banten II,H. Edison Sitorus S.T.,Komisi XIII,PAN,-,Banten,Koalisi Pemerintah
58,Banten III,"Moh. Rano Alfath S.H., M.H.",Komisi III,PKB,Wakil Ketua Komisi III DPR RI,Banten,Oposisi
134,Banten III,Prof. H. Sufmi Dasco Ahmad,Komisi III,Gerindra,Wakil Ketua DPR-RI,Banten,Koalisi Pemerintah
234,Banten III,"Yulius Setiarto S.H., M.H.",Komisi I,PDIP,-,Banten,Oposisi
235,Banten III,"Marinus Gea S.E., M.Ak.",Komisi XIII,PDIP,-,Banten,Oposisi
338,Banten III,Drs. H. Mujakkir Zuhri,Komisi VII,Golkar,-,Banten,Koalisi Pemerintah
339,Banten III,"Andi Achmad Dara S.E., M.AP.",Komisi XI,Golkar,Wakil Ketua Badan Akuntabilitas Keuangan Negara DPR RI,Banten,Koalisi Pemerintah
407,Banten III,Dr. H. Wahidin Halim M.Si.,Komisi VIII,NasDem,-,Banten,Oposisi
