No. Anggota,Daerah pemilihan,Potret,Nama,Komisi,Fraksi,Fraksi.1,Perolehan Suara Sah,Catatan
546,Lampung II,,Marwan Cik Asan,Komisi XI,,Demokrat,159.162,
86,Kepulauan Bangka Belitung,,Hj. Melati S.H.,Komisi XIII,,Gerindra,80.969,
172,Kepulauan Bangka Belitung,,Ir. Rudianto Tjen,Komisi I,,PDI-P,110.477,
289,Kepulauan Bangka Belitung,,"Bambang Patijaya S.E., M.M.",Komisi XII,,Golkar,87.97,Ketua Komisi XII DPR RI
87,Kepulauan Riau,,Ir. H. M. Endipat Wijaya M.M.,Komisi I,,Gerindra,105.413,Wakil Ketua Badan Akuntabilitas Keuangan Negara DPR RI
173,Kepulauan Riau,,Mayjen. TNI (Purn.) Sturman Panjaitan S.H.,Komisi IV,,PDI-P,59.46,Wakil Ketua Badan Legislasi DPR RI
290,Kepulauan Riau,,Rizki Faisal,Komisi VI,,Golkar,73.664,
380,Kepulauan Riau,,Randi Zulmariadi S.M.,Komisi VI,,NasDem,85.67,
13,DKI Jakarta I,,H. Hasbiallah Ilyas,Komisi III,,PKB,80.895,
88,DKI Jakarta I,,"Dr. Habiburokhman S.H., M.H.",Komisi III,,Gerindra,96.914,Ketua Komisi III DPR RI
174,DKI Jakarta I,,Putra Nababan,Komisi VII,,PDI-P,105.559,
447,DKI Jakarta I,,Dr. H. Mardani Ali Sera M.Eng.,Komisi II,,PKS,176.584,Ketua Badan Kerjasama Antar Parlemen DPR RI
448,DKI Jakarta I,,Dr. Hj. Anis Byarwati,Komisi XI,,PKS,64.304,
499,DKI Jakarta I,,H. Eko Hendro Purnomo S.Sos.,Komisi VI,,PAN,93.673,Wakil Ketua Komisi VI DPR RI
14,DKI Jakarta II,,Dr. Hj. Ida Fauziyah M.Si.,Komisi VI,,PKB,76.092,
89,DKI Jakarta II,,"Hj. Himmatul Aliyah S.Sos., M.Si.",Komisi X,,Gerindra,94.543,Wakil Ketua Komisi X DPR RI
175,DKI Jakarta II,,Once Mekel S.H.,Komisi X,,PDI-P,60.623,
291,DKI Jakarta II,,"Abraham Sridjaja S.H., M.H., C.L.A.",Komisi I,,Golkar,76.945,
449,DKI Jakarta II,,Dr. H. M. Hidayat Nur Wahid M.A.,Komisi VIII,,PKS,227.974,Wakil Ketua MPR RI
450,DKI Jakarta II,,Dr. Hj. Kurniasih Mufidayati M.Si.,Komisi IX,,PKS,62.755,
500,DKI Jakarta II,,Surya Utama S.I.P.,Komisi IX,,PAN,81.463,
90,DKI Jakarta III,,Rahayu Saraswati D. Djojohadikusumo,Komisi VII,,Gerindra,52.932,Wakil Ketua Komisi VII DPR RI
176,DKI Jakarta III,,Charles Honoris,Komisi IX,,PDI-P,97.016,Wakil Ketua Komisi IX DPR RI
177,DKI Jakarta III,,Prof. Asc. Dr. Darmadi Durianto,Komisi VI,,PDI-P,95.553,
292,DKI Jakarta III,,Erwin Aksa,Komisi XI,,Golkar,186.897,
381,DKI Jakarta III,,"Ahmad Sahroni S.E., M.I.Kom.",Komisi III,,NasDem,163.292,Wakil Ketua Komisi III DPR RI
451,DKI Jakarta III,,Drs. H. Adang Daradjatun,Komisi III,,PKS,95.773,
