No. Anggota,Daerah pemilihan,Potret,Nama,Komisi,Fraksi,Fraksi.1,Perolehan Suara Sah,Catatan
348,Kalimantan Selatan I,,"Drs. H. Bambang Heri Purnama S.T., S.H., M.H.",Komisi I,,Golkar,161.985,
349,Kalimantan Selatan I,,"Sandi Fitrian Noor S.T., M.M.",Komisi VIII,,Golkar,106.724,
416,Kalimantan Selatan I,,"Dr. H. M. Rifqinizamy Karsayuda S.H., M.H.",Komisi II,,NasDem,66.744,Ketua Komisi II DPR RI
482,Kalimantan Selatan I,,Habib Aboe Bakar Al Habsyi S.E.,Komisi III,,PKS,80.688,Wakil Ketua Mahkamah Kehormatan Dewan DPR RI
525,Kalimantan Selatan I,,Ir. Pangeran Khairul Saleh M.M.,Komisi XIII,,PAN,66.198,
141,Kalimantan Selatan II,,"Hj. Mariana S.A.B., M.M.",Komisi IX,,Gerindra,56.949,
350,Kalimantan Selatan II,,Hasnuryadi Sulaiman,,,Golkar,73.489[21],[Ket. 67]
350,Kalimantan Selatan II,,Irjen Pol (Purn.) Drs. Rikwanto M.Hum.,Komisi III,,Golkar,49.936,[Ket. 68]
417,Kalimantan Selatan II,,Rahmat Trianto,,,NasDem,52.476[22],[Ket. 69]
417,Kalimantan Selatan II,,H. Machfud Arifin,Komisi XIII,,NasDem,51.915,[Ket. 70]
526,Kalimantan Selatan II,,"Endang Agustina S.Sos., M.H.",Komisi III,,PAN,116.266,
527,Kalimantan Selatan II,,Sudian Noor,Komisi VIII,,PAN,103.365,
64,Kalimantan Timur,,Syafruddin S.Pd.,Komisi XII,,PKB,86.064,
142,Kalimantan Timur,,G. Budisatrio Djiwandono,Komisi I,,Gerindra,131.569,Wakil Ketua Komisi I DPR RI
249,Kalimantan Timur,,Drs. Safaruddin M.I.Kom.,Komisi III,,PDI-P,68.314,
351,Kalimantan Timur,,Rudy Mas'ud,,,Golkar,168.818[24],[Ket. 71]
351,Kalimantan Timur,,Hj. Sarifah Suraidah,Komisi VI,,Golkar,71.496,[Ket. 72]
352,Kalimantan Timur,,Dr. Ir. Hetifah Sjaifudian M.P.P.,Komisi X,,Golkar,146.062,Ketua Komisi X DPR RI
418,Kalimantan Timur,,Nabil Husien Said Amin Alrasydi,Komisi III,,NasDem,82.033,
483,Kalimantan Timur,,K. H. Aus Hidayat Nur,Komisi II,,PKS,34.969,
528,Kalimantan Timur,,"Edi Oloan Pasaribu S.T., M.M.",Komisi II,,PAN,34.129,
143,Kalimantan Utara,,Hj. Rahmawati S.H.,Komisi VII,,Gerindra,78.168,
250,Kalimantan Utara,,Ir. Deddy Yevri Hanteru Sitorus M.A.,Komisi II,,PDI-P,59.335,
572,Kalimantan Utara,,Drs. Hasan Saleh,Komisi IV,,Demokrat,28.813,
144,Sulawesi Utara,,Christovel Liempepas,,,Gerindra,33.258,[Ket. 73]
144,Sulawesi Utara,,Martin Daniel Tumbeleka,Komisi III,,Gerindra,27.24,[Ket. 74]
251,Sulawesi Utara,,Rio Alexander Jeremia Dondokambey B.Sc.,Komisi XI,,PDI-P,194.209,
252,Sulawesi Utara,,Dra. Yasti Soepredjo Mokoagow,Komisi V,,PDI-P,85.091,
353,Sulawesi Utara,,Christiany Eugenia Paruntu,Komisi XII,,Golkar,88.52,
419,Sulawesi Utara,,Felly Estelita Runtuwene S.E.,Komisi IX,,NasDem,52.889,Ketua Komisi IX DPR RI
573,Sulawesi Utara,,"Dr. Hillary Brigitta Lasut S.H., LL.M.",Komisi XI,,Demokrat,310.78,
145,Sulawesi Tengah,,Drs. H. Longki Djanggola M.Si.,Komisi II,,Gerindra,113.826,
253,Sulawesi Tengah,,Matindas Janusanti Rumambi S.Sos.,Komisi VIII,,PDI-P,62.814,
354,Sulawesi Tengah,,H. Muhidin Mohamad Said,Komisi XI,,Golkar,154.301,Wakil Ketua Badan Anggaran DPR RI
355,Sulawesi Tengah,,Ir. Beniyanto S.T.,Komisi VII,,Golkar,90.078,
420,Sulawesi Tengah,,"Dr. Hj. Nilam Sari Lawira S.P., M.P.",Komisi X,,NasDem,178.791,
529,Sulawesi Tengah,,"Dr. Sarifuddin Sudding S.H., M.H.",Komisi III,,PAN,43.318,
574,Sulawesi Tengah,,Anwar Hafid,,,Demokrat,121.524,[Ket. 75]
574,Sulawesi Tengah,,Ellen Esther Pelealu S.E.,Komisi IV,,Demokrat,42.741,[Ket. 76]
65,Sulawesi Selatan I,,"Dr. H. Syamsu Rizal M. I. S.Sos., M.Si.",Komisi I,,PKB,48.794,
146,Sulawesi Selatan I,,Dr. H. Azikin Solthan M.Si.,Komisi VII,,Gerindra,54.667,
254,Sulawesi Selatan I,,Ridwan Andi Wittiri S.H.,Komisi XII,,PDI-P,80.364,
356,Sulawesi Selatan I,,Drs. Hamka B. Kady M.S.,Komisi V,,Golkar,119.558,
421,Sulawesi Selatan I,,Fatmawati Rusdi,,,NasDem,106.806,[Ket. 77]
421,Sulawesi Selatan I,,"H. Achmad Dg. Sere S.Sos., M.A.P.",Komisi VII,,NasDem,19.071,[Ket. 78]
422,Sulawesi Selatan I,,Rudianto Lallo S.H.,Komisi III,,NasDem,97.597,
484,Sulawesi Selatan I,,"Hj. Meity Rahmatia S.E., S.Pd., M.M.",Komisi XIII,,PKS,97.783,
530,Sulawesi Selatan I,,Drs. H. Ashabul Kahfi M.Ag.,Komisi IX,,PAN,92.606,
66,Sulawesi Selatan II,,Drs. H. Andi Muawiyah Ramly M.Si.,Komisi X,,PKB,47.524,
147,Sulawesi Selatan II,,Andi Amar Ma'ruf Sulaiman S.E.,Komisi III,,Gerindra,187.919,
148,Sulawesi Selatan II,,"H. Andi Iwan Darmawan Aras S.E., M.Si.",Komisi V,,Gerindra,161.56,Wakil Ketua Komisi V DPR RI
357,Sulawesi Selatan II,,A. M. Nurdin Halid,Komisi VI,,Golkar,70.681,Wakil Ketua Komisi VI DPR RI
358,Sulawesi Selatan II,,"Dr. H. M. Taufan Pawe S.H., M.H.",Komisi II,,Golkar,57.955,
423,Sulawesi Selatan II,,Teguh Iswara Suardi,Komisi V,,NasDem,60.232,
485,Sulawesi Selatan II,,Ismail,Komisi VI,,PKS,63.688,
531,Sulawesi Selatan II,,Dr. Hj. Andi Yuliani Paris,Komisi XI,,PAN,122.929,
575,Sulawesi Selatan II,,Andi Muzakkir Aqil,Komisi III,,Demokrat,50.935,
149,Sulawesi Selatan III,,Unru Baso,Komisi VI,,Gerindra,88.683,
150,Sulawesi Selatan III,,Ir. H. La Tinro La Tunrung,Komisi X,,Gerindra,73.6,
359,Sulawesi Selatan III,,Muhammad Fauzi S.E.,,,Golkar,99.69,[Ket. 79]
359,Sulawesi Selatan III,,Agustina Mangande,Komisi II,,Golkar,61.394,[Ket. 80]
424,Sulawesi Selatan III,,H. Rusdi Masse Mappasessu,Komisi III,,NasDem,161.301,
425,Sulawesi Selatan III,,Eva Stevany Rataba S.H.,Komisi X,,NasDem,73.91,
532,Sulawesi Selatan III,,Drs. H. Muslimin Bando M.Pd.,Komisi X,,PAN,78.578,
576,Sulawesi Selatan III,,Irjen. Pol. (Purn.) Drs. Frederik Kalalembang,Komisi I,,Demokrat,51.664,
67,Sulawesi Tenggara,,"Jaelani S.IP., M.Si.",Komisi IV,,PKB,116.426,
151,Sulawesi Tenggara,,Bahtra S.PWK.,Komisi II,,Gerindra,85.596,Wakil Ketua Komisi II DPR RI
255,Sulawesi Tenggara,,"H. Ahmad Safei S.H., M.H.",Komisi IX,,PDI-P,58.466,
360,Sulawesi Tenggara,,Ir. Ridwan Bae,Komisi V,,Golkar,84.44,Wakil Ketua Komisi V DPR RI
426,Sulawesi Tenggara,,Tina Nur Alam,,,NasDem,68.683,[Ket. 81]
426,Sulawesi Tenggara,,H. Ali Mazi S.H.,Komisi XIII,,NasDem,68.099,[Ket. 82]
577,Sulawesi Tenggara,,Rusda Mahmud,Komisi II,,Demokrat,62.078,
152,Gorontalo,,"Elnino M. Husein Mohi S.T., M.Si.",Komisi I,,Gerindra,126.129,
361,Gorontalo,,Drs. H. Rusli Habibie M.A.P.,Komisi XII,,Golkar,95.379,
427,Gorontalo,,Dr. (H.C.) H. Rachmad Gobel,Komisi VI,,NasDem,195.322,
256,Sulawesi Barat,,Dr. Ir. H. Agus Ambo Djiwa M.P.,Komisi IV,,PDI-P,64.731,
428,Sulawesi Barat,,Ratih Megasari Singkarru M.Sc.,Komisi X,,NasDem,122.194,
533,Sulawesi Barat,,Ajbar S.P.,Komisi IV,,PAN,60.785,
578,Sulawesi Barat,,Suhardi Duka,,,Demokrat,85.42,[Ket. 83]
578,Sulawesi Barat,,Muhammad Zulfikar Suhardi S.IP.,Komisi VII,,Demokrat,11.593,[Ket. 84]
153,Maluku,,Hendrik Lewerissa,,,Gerindra,99.911[27],[Ket. 85]
153,Maluku,,F. Alimudin Kolatlena,Komisi VIII,,Gerindra,12.639,[Ket. 86]
257,Maluku,,Mercy Chriesty Barends S.T.,Komisi X,,PDI-P,100.703,
486,Maluku,,Saadiah Uluputty S.T.,Komisi IV,,PKS,93.119,
534,Maluku,,Widya Pratiwi,Komisi III,,PAN,163.315,
258,Maluku Utara,,"Irine Yusiana Roba Putri S.Sos., M.Comn&MediaSt.",Komisi V,,PDI-P,105.137,Wakil Ketua Badan Kerjasama Antar Parlemen DPR RI
362,Maluku Utara,,Alien Mus S.Sos.,Komisi IV,,Golkar,70.595,
487,Maluku Utara,,Izzuddin Alqassam Kasuba,Komisi VII,,PKS,32.424,
154,Papua,,"Yan Permenas Mandenas S.Sos., M.Si.",Komisi XIII,,Gerindra,80.844,
259,Papua,,Benhur Tomi Mano,,,PDI-P,154.548[28],[Ket. 87]
259,Papua,,Ruth Naomi Rumkabu,Komisi I,,PDI-P,51.729,[Ket. 88]
429,Papua,,Tonny Tesar S.Sos.,Komisi VII,,NasDem,66.722,
260,Papua Barat,,Obet Rumbruren,Komisi IX,,PDI-P,19.638,
363,Papua Barat,,drg. Alfons Manibui,Komisi XII,,Golkar,41.782,
430,Papua Barat,,Cheroline Chrisye Makalew,Komisi XII,,NasDem,25.309,
68,Papua Selatan,,Kristosimus Yohanes Agawemu,,,PKB,19.267,[Ket. 89]
68,Papua Selatan,,Indrajaya S.E.,Komisi II,,PKB,18.169,[Ket. 90]
261,Papua Selatan,,Edoardus Kaize,Komisi IV,,PDI-P,42.822,
431,Papua Selatan,,Dr. (H.C.) H. Sulaeman L. Hamzah,Komisi IV,,NasDem,26.255,
262,Papua Tengah,,"Kamarudin Watubun S.H., M.H.",Komisi II,,PDI-P,278.024,
364,Papua Tengah,,"Dr. Soedeson Tandra S.H., M.Hum.",Komisi III,,Golkar,197.995,
432,Papua Tengah,,"Natalis Tabuni S.S., M.Si.",,,NasDem,154.117,[Ket. 91]
432,Papua Tengah,,"Arjuna Sakir S.E., M.M.",Komisi VII,,NasDem,1.72,[Ket. 92]
263,Papua Pegunungan,,John Wempi Wetipo,,,PDI-P,163.775[29],[Ket. 93]
263,Papua Pegunungan,,Arif Riyanto Uopdana S.T.,Komisi XII,,PDI-P,34.235,[Ket. 94]
433,Papua Pegunungan,,Roberth Rouw,Komisi V,,NasDem,259.063,Wakil Ketua Komisi V DPR RI
535,Papua Pegunungan,,Paulus Ubruangge,Komisi IX,,PAN,94.823,
365,Papua Barat Daya,,Robert Joppy Kardinal S.A.B.,Komisi IV,,Golkar,53.578,
434,Papua Barat Daya,,Rico Sia M.Si.,Komisi VII,,NasDem,32.926,
579,Papua Barat Daya,,Faujia Helga Br. Tampubolon,Komisi VI,,Demokrat,35.856,
